concatenate	verketten
reciprocity	die Gegenseitigkeit
verbatim (word for word)	wörtlich
the requisite fee	die erforderliche Gebühr
a requisite	Eine Notwendigkeit
dissimilar	unähnlich, verschieden, ungleich
panacea (pænəˈsiːə)	Allheilmittel
commodity	Ware, Rohstoff, Gut
to mitigate	etw. mildern
alterations	Änderungen
overhaul	Überholung, Generalüberholung
underpin	untermauern, bekräftigen, stützen
venerable	ehrwürdig
to invoke sth.	etw. aufrufen, beschwören
socratic	ausgewogen
to demote sth.	etw. herabstufen, degradieren
legacy	Erbe, Vermächtnis
articulated	gelenk, gelenkig, zusammenhängend
heritage	Erbschaft, Erbgut
coherent	kohärent, zusammenhängend
constraint	Beschränkung
intersecting	kreuzend, schneidend
terminology	Begriffe, Terminologie
aspect ratio	Seitenverhältnis
stamina	Ausdauer
candor	Offenheit
flurry	Windstoß, Gestöber
delusion	Wahn
shred	Fetzen
to pawn sth.	verpfänden
to concede sb. sth.	jmd. etw. zugestehen
incredulous	ungläubig
to culminate in sth.	in etwas gipfeln
partial retirement	Altersteilzeit
to append	anfügen
spatial	räumlich, 3-Dimensional
(Sweet)Chestnut	Esskastanie
suspend	aussetzen
mnemonic	Eselsbrücke, Gedächtnisstütze
to exacerbate sth.	etw. verschärfen (z.B. Situation)
arcane	von wenigen verstanden, mysteriös, geheim
stale	schal, alt, muffig
to allocate	zuweisen
exhaustion	Erschöpfung
to alleviate sth.	etw. abmildern
shortcomings	Mängel, Unzulänglichkeiten
suffix	Nachsilbe
prefix	Präfix, Vorsilbe
to encompass sth.	umfassen, umspannen
arbitrary	willkürlich
to expunge sth.	etw. auslöschen
hamstring	Kniesehne; hinterer Oberschenkel
to elaborate sth.	etw. ausarbeiten
splinter cell	Splittergruppe
saliva	Speichel
Salmon	Lachs
Trout	Forelle
speed camera (flash 4 cash)	Blitzer
courteous	höflich
hail (noun)	Hagel
to take s.o. to bed	jdn. ins Bett bringen
running machine, treadmill	Laufband
insulation	Isolation
repellant	abstoßend
vowel	Vokal
mediator	Vermittler
to embrace sth.	etw. umarmen, empfangen
reckon	glauben, denken, rechnen
SPF, sun protection factor	Lichtschutzfaktor
pus	Eiter
purulence	Eitern
skinny dipping	Nacktbaden
pointy	spitz zulaufend
turd	Kackwurst
heat flush, hot flashes	Hitzewallungen
bread rolls	Brötchen
coat rack	Kleiderständer
thigh gap	Schenkellücke
pastel colors	Pastellfarben
taxi rank	Taxistand
nifty	flott
tame	zahm
cutlery	Besteck
meticulous	sorgfältig
annotation	Anmerkung
caveat	Vorbehalt
fair hair	blondes Haar
affectionate	liebevoll, zärtlich, anhänglich
train info	Infoscreen (im Zug)
grandchildren	Enkel(kinder)
lamb's (tongue) lettuce	Feldsalat
parsley	Petersilie
selfless	selbstlos
window sill	Fensterbank, Fensterbrett
to pursue sth.	etw. verfolgen, betreiben, nachgehen
